计算机英语
abbreviate vt.缩写，省略
metafile 元文件
meter 米
method 方法
metric 公制的
micro a.微的,百万分之一
microcircuit 微电路
microcode 微码
microcomputer 微型计算机
microdocument 微文档
microfiche 微缩格片
microfilm 微缩胶卷
microinstruction 微指令
microprocessor 微处理器
microprogram 微程序
microprogramming 微程序设计
microroutine 微例程
microsecond 微秒
microwave 微波
middle 中间
MIDI 音乐设备数字接口
migrate 移植
migration 移植
mile 英里
milli 毫
millimeter 毫米
millisecond 毫秒
minidisk 小磁盘
minimize 最小化
minimum 最小的
minuend 被减数
minus a.负数，减
mirror n.镜，反射，反映
mirroring 镜象
miscellaneous 多种的
mismatch n.失配，不匹配
missing 丢失
mistake 错误
mix 混合剂
mixer 混合器
mixture 混合体
mnemonic 助记的
modal 模态
mode 方式
model 模型
modem 调制解调器
modification 修改
modified a.修改的，变更的
modifier 修饰符
modify 修改
modular 模块化的
modulate 调制
modulation 调制
module 模块
modulo 模
moment n.矩，力矩，磁矩
monitor 监控程序
monitoring 监控
mono a.单音的
monochrome 单色
monostable 单稳的
month 月份
more 尚有
motif n.主题，要点，特色
motor 电动机
mount 装载
mouse 鼠标
move 移动
movement 移动
multidrop 多点
multiiplex 多路传送
multiline 多线路
multimedia 多媒体
multiple 多个的
multiplexer 多路转接器
multiplexing 多路复用
multiplexor 多路传送器
multiplicand 被乘数
multiplication 乘法
multiplicity 复合度
multiplier 乘数
multipoint 多点
multiprocessing n.多重处理，多道处理
multiprocessor 多重处理机
multistation 多功能站
multitasking 多任务
multithread 多线程
multiwindow 多窗口
must 必须
mutex 互斥标记
name 名字
namespace 名称空间
native 本机的
nature 性质
navigate v.导航，驾驶
navigation n.导航
navigational 引导的
necessary 必需的
needle 探针
negate vt.否定,求反,“非”
negative a.负的，否定的
negotiation 协商
neper 奈培
nest 嵌套
nested 嵌套
netname 网络名
network 网络
networking 连网
neural 神经
neutral 中性的
new 新的
nickname 别号
node 节点
nodes 节点
noise 噪声
nomenclature 术语
nominal 额定的
noninteractive a.不相关的，非交互的
noninventory 非库存
nonswitched 非交换式
nonupdatable 不可更新的
nonworkdays 非工作日
nonzero 非零
normal 正常的
normalize 规格化
notation 记数法
note 注意
notebook 笔记本
nucleus 核心
null 空的
number 数
numeral 数字
numeration 记数
numeric 数字的
numerical 数字的
numerous a.为数众多的，无数的
object 目标对象
obscure 模糊的
observation 观察
observer 观察者
obsolete 过时的
obstruction 障碍
occasionally ad.偶尔(地)，不时
occlude 堵塞
occupation 职业
occupy 占用
occur 发生
occurrence n.出现，发生
octal 八进制的
octet 八位位组
odometer n.里程表，计程仪
oersted 奥斯特
offer v.提供，给予，呈现
offhook 摘机
offline 脱机
offset 位移
ohm 欧姆
OK 确认
omit vt.省略，删去，遗漏
on -line a.联机的
online 联机
only 仅
opaque 不透明的
open 打开
operand 操作数
operate 操作
operating 操作
operation 操作
operator 运算符
opinion n.意见，见解，判断
opposite a.相反的
optimization 优化
optimize v.优选，优化
optimum 最优的
option 任选项
optional 任选的
order 命令
ordering 定序
ordinal 序数
organization 组织
organize v.组织，创办，成立
orientation 方位
oriented a.有向的，定向的
origin 起始地址
original 原始
originally ad.原来，最初
oscilloscope 示波器
other 其他
otherwise 否则
outcome n.结果，成果，输出
outconnector 外接器
outlet 插座
outline 提纲
output 输出
overall 整个
overcircle 上圈
overcommitment 过度承诺
overdot 上点
overdue 逾期
overflow 上溢
overhead 间接制造费用
overheat 过热
overlap 重叠
overlay 覆盖
overload 超负荷
overloading 重载
override 覆盖
overrun 过速
overscan 过扫描
overscore 顶线
overstrike 重复打印
overstriking 重叠打印
overtime 加班
overview 概述
overwrite 覆盖
owner 所有者
ownership 所有权
pace 调步
pacing 调步
pack 压缩
package 包
packet 包
packeted 成套的
packing 包装
pad 填充
padding 填充
pagination 页调整
paging 调页
palette 调色板
pane 屏面
panel 屏面
panning 漫游
paragraph 段
parallel 并行的
parameter 参数
parent 父代
parentheses 括号
parenthesis n.括弧，圆括号
parity 奇偶性
parse 语法分析
parser 语法分析器
part 部件
participant 参与者
particular a.特定的，特别的
particularly ad.特别，格外，尤其
partition 分区
partitioned 分区的
partner 伙伴
pass v.传送，传递，遍(数)
passthru 通过
password 口令
Paste 粘贴选项
patch 修补
path 路径
pattern 模式
pause 暂停
payroll 工资单
peer 同级
pel 像素
penalty n.惩罚，罚款，负担
pending 暂挂
percentage 百分率
perforator 穿孔机
perform 实行
performance 性能
period 句点
peripheral 外围的
permanence 永久性
permanent 永久的
permanently ad.永久地，持久地
permission 许可权
permissions 许可权
permit 允许
permutation 排列
persistence 持续性
person 人员
personal a.个人的，自身的
personalize 个人化
personnel 人员
pertain vi.附属，属于，关于
phase 阶段
phone 电话
phoneme 音素
photocell 光电池
photoconductor 光导体
photodetector 光检测器
phototypesetter 照相排版
phrase 短语
physical 物理的
physically a.物理上，实际上
pick 检料
picking 检料
picosecond 微微秒
picture 图形
pin 针
pinboard 插接板
pipe 管道
pipeline 管线
piping 管道
pitch 音调
pixel 像素
pixmap 象图
placeholder 位置标志符
placement 位置
plaintext 明文
plan 计划
plane 位面
planner 计划人员
planning 计划
plant 工厂
platen 压纸卷筒
platform n.平台
plot 绘图
plotter 绘图仪
plug 插头
point 点
pointer 指针
pointing 指点
poll 轮询
polling 轮询
polyline 多线
polymarker 多重指示器
polymorphism 多形性
pool 池
pop 弹出
popdown 弹下
popup 弹出
port 端口
portability 可移植性
portion n.分配
position 位置
positioning 定位
positive a.正的，阳的，正片
possibility n.可能性
possible 可能
possibly ad.可能地，合理地
postamble 后同步信号
postpone 延迟
potentially ad.可能地，大概地
power 电源
powerful 功效强大的
practice n.实习，实践
pragma 编译指示
pragmatics 语用学
preamble 前同步信号
preanalysis 预分析
preauthorization 预先授权
prebuild 预构建
precede v.先于
precedence 优先级
preceding a.先的，以前的
precision 精度
precondition 先决条件
predicate 谓词
predict vt.预测，预言
preemption 抢先
preface 前言
prefer vt.更喜欢，宁愿
prefix 前缀
premultiplication 左乘
preparation 准备
preprocessing 预处理
preprocessor 预处理器
prepunched 预先穿孔的
prerequisite 先决条件
preroll 预卷
presence n.存在，有
present a.提供
presentation 呈示
preserve vt.保存，维持
preset 预置
press 按
pressed a.加压的，压缩的
pressing n.紧急的
prestore 预存储
prevent v.防止，预防
preview vt.预览
previous a.早先的，上述的
previously ad.以前，预先
price n.价格
primarily ad.首先，起初，原来
primary 主要的
primitive 原语
principal 主要的
print 打印
printable a.可印刷的
printer 打印机
printing 打印
printout 打印输出
prior a.先验的，优先的
priority 优先级
private 专用
privilege 特权
probable a.概率的，可能的
probably ad.多半，很可能
problem 问题
procedural a.程序上的
procedure 过程
proceed 继续
process 进程
processing 处理
processor 处理器
produce v.生产，制造
product 产品
production 生产
productivity 生产力
professional 专业人员
profile 概要
profiling 程序概要分析
program 程序
programmable a.可编程的
programmer 程序员
programming 程序设计
progress n.进度，进展
project 项目
projection 投影
prolog 前言
prologue 前言
promote 促进
prompt 提示
prompting 提示
proof 证明
proper 正确的
properly ad.真正地，适当地
property 特性
proporational 均衡的
proprietary a.专有的
protect vt.保护
protected 受保护
protection 保护
protocol 协议
prototype 原型
provide 提供
pruning 修剪
pseudo a.假的，伪的，冒充的
pseudocolor 伪彩色
pseudonumber 代号
public 公共的
publication 出版物
publisher n.出版者，发行人
puck 球
pulldown 下拉
pulse 脉冲
purchase 采购
purchasing 采购
purge 清除
purpose n.打算
push 按
pushbutton 按钮
pyramid 角锥体
quad 四芯导线
qualified a.合格的，受限制的
qualifier 限定词
quality 质量
quantization 量子化
quantize 量化
quantum 量子
quark 夸克
quartet 四位字节
query 查询
question n.问题
questionaire 询问表
queue 队列
queuing 排队
quiescing 停顿
quiet 安静
quinary 五进制的
quintet 五位字节
quit 退出
quotation 引语
quote 报价
quotient 商
rack 机架
radar 雷达
radiate 辐射
radix 基数
rail 导轨
raise 提高
RAM 随机存取存储器
random a.随机的
range 范围
rank 排序
raster 光栅
rate 速率
rated 额定的
rating 额定
rational 有理的
reach v.范围，达到范围
reactivate v.使恢复活动
read 读
readable a.可读的
reader 阅读器
readily ad.容易地，不勉强
reading n.读，读数
ready 就绪
real 实
reallocation 重新分配
really a.真正地，确实地
realm 领域
reappear vi.再现，重现
rear 背面
rearrange v.重新整理，重新排序
reason 原因
rebinding 重新连接
rebuild v.重建，修复，改造
recalibrate 重新校准
recall vt.撤消，复活，检索
receipt 收据
receive 接收
received a.被接收的，公认的
receiver 接收者
receiving 接收
receptacle 插座
recipe 准则
recipient 收件人
reciprocal 倒数
reclaim 收回
reclock 重新计时
recognize v.识别
recommend vt.推荐，建议
reconciliation 对帐
reconfiguration 重新配置
record 记录
recorder 记录器
recost 成本重计
recover 恢复
recoverable a.可恢复的，可回收的
recovery 恢复
rectangle 矩形
rectangular a.矩形的
recursion 循环
recursive a.递归的，循环的
redefine vt.重新规定(定义)
redirect 重定向
redirection 重定向
redisplay 再显示
redo 重做
redraw vt.再拉
reduce 减少
reduction n.减化，还原，减少
redundancy 冗余
redundant a.冗余的
reel 卷
reenter v.重新进入
reenterable 可重入的
reentrant 可重入的
reevaluate 重新估计
refer 参考
reference 引用
referral 工作分派
refile 接力传送
reflect 反映
reflection 反射
reflow v.回流，逆流
reformat 重新格式化
refresh 刷新
regard vt.考虑，注意，关系
regardless a.不注意的，不考虑的
regeneration 重新生成
region 区
register 寄存器
registration 登记
regression 回归
regular a.正则的，正规的
regulation 规则
regulator 调节器
reindex v.变换(改变)符号
reinitialize 重新初始化
reinstall 重新安装
reinstate vt.复原，恢复
reject 拒绝
related a.相关的
relation 关系
relational 关系的
relationship 关系
relative 相对的
release 释放
reliability 可靠性
reload vt.再装入
relocatable 浮动
relocate 浮动
relocation 浮动
remain vi.剩下，留下，仍然
remainder 余数
remaining 剩余的
remark 评语
remember v.存储，记忆，记住
remote 远程
remotely 远程地
removal 除去
remove 除去
rename 重新命名
render 图象产生
renderer 描绘器
rendering 描绘
rendzvous 会合
renovate 改造
rent n.裂缝
reorder v.(按序)排列，排序
reorganization vt.重排，改组
repaint vt.重画
repair 修理
reparent 重定父级
repeat 重复
repeatablity 可重复性
repeated a.重复的
repeatedly ad.重复地
repeater 中继器
repeating n.重复，循环
reperforator 复穿孔机
repertory 指令表
repetitive a.重复的
repetitor 重复词
replace 置换
replaceable 可置换的
replacement n.替换，置换，更新
replan 重新计划
replica 副本
replicate vt.重复，复制
replication 复制
reply 回答
report 报告
repository 仓库
represent v.表示，表现，代表
representation 表示法
representative a.典型的，表示的
reprioritize 变更优先顺序
reproduce 复制
reproducer 复穿孔机
request 请求
requester 请求器
require 需求
required 必需
requirement 需求
requisition 请求
requisitioner 请求者
reread vt.重读
rerun 重新运行
resend 再送
reservation 保留
reserve vt.保留，预定，预约
reserved 保留的
reset 复位
reside vi.驻留
resident 驻留
residual 残留的
resistance 阻抗
resolution 分辨率
resolve 分辨
resolver 分解器
resource 资源
respect n.遵守，关系
respectively ad.分别地
respond v.回答，响应
response 响应
responsibility 责任
rest n.剩余，休息
restart 重新启动
restore 复原
restrict vt.约束，限制
restricted a.受限制的，受约束的
restricting n.限制(的)
restriction 限制
restructure vt.调整，重新组织
result 结果
resulting a.结果的，合成的
resume 继续
resynchronization 再同步
retain vt.保持，维持
retainer 定位器
retrace 重新跟踪
retransmit 重新发送
retrieval 检索
retrieve 检索
retry 重试
return 返回
returned a.退回的
returns 报酬
reusable 可再用的
reuse 再使用
reversal 反向
reverse 反向
review 复查
revise 修订
revokable 可取消的
revoke 取消
revolutionize vt.变革，彻底改革
rewind 回绕
rework 重做
rewrite vt.重写，再生
RGB 红绿兰颜色表示法
rid 资源标识符
right 右
rights 权利
rigid 硬性的
ring 环
ringer 振铃器
RMFS 描绘机制和格式
robot 机器人
roll 卷动
roller 滚轮
room n.房间，空间
root 根
rotary 旋转式
rotating 旋转
round 舍入
rounding 舍入
route 路径
router 路由程序
routine 例行程序
routing 路由选择
row 行
rule n.规则，法则，尺
run 运行
running a.运行着的，游动的
runtime n.运行时间
S 启动 ／停止
safe a.安全的，可靠的
safely ad.安全地，确实地
safety n.安全，保险
salary n.发工资
sale n.销售，销路
salvager 拯救者
same a.同样的，相同的
sample 采样
sampling 采样
satisfy 满足
save 保存
saveset 保存集
saving a.保存的
say v.说，显示，假定
SBCS 单字节字符集
scalar 标量
scale 比例尺
scaling 比例转换
scan 扫描
scanline 扫描行
scanner 扫描器
scatter 分散
scattered a.分散的
schedule 调度
scheduled 预定
scheduler 调度程序
schema 图解
scheme n.方案，计划，图
scientific 科学的
scope 作用域
Scout 检索程序
scrap 报废
scratch 擦除
screen 屏幕
screenhelp 屏幕求助
screenmask 屏幕屏蔽区
screw 螺钉
scroll 滚动
scrolling 卷动
seal 封
seamless a.无缝的
search 搜索
searching n.搜索
seasonal 季节性的
second n.秒，第二的
secondary 次级
section 部分
sector 扇区
secure 安全的
security 安全性
see 查看
seek 查找
segment 段
segmentation 分段
seismics 地震探测法
seldom ad.不常，很少，难得
select 选择
selected a.精选的
selecting 选择
selection 选择
selector 选择器
semantic 语义
semaphore 信号灯
semicolon 分号
send 发送
sender 发送人
sense 检测
sensitive a.敏感的，灵敏的
sensitivity 灵敏度
sensor 传感器
sentence 句子
sentinel 标记
separate v.各自的
separated a.分开的
separately ad.分别地
separator 分隔符
septet 七位字节
sequence 顺序
sequencing 定序
sequentially ad.顺序地
serial 串行
serializability 串行
serialize 串行化
series 系列
serve 服务
server 服务器
service 服务
servicing 检修
session 阶段作业
set 设置
setgid 设置组标识符
setting 设置
Settings 设置选项
setuid 设置用户标识符
setup 设置
seven n.七(个)
several a.若干个，几个
severe 严重
severity 严重性
sextet 六位字节
shaded 阴影
shading 描影
shadow 阴影
shape 形状
share 共享
sheet n.(图)表，纸，片
shell 外壳
shield v.屏蔽，罩，防护
shift 移位
ship 装运
shipment 出货
shipping 装运
shmid 共享存储器标识符
short 短路
shortcut n.近路，捷径
should 应该
Show 显示
showing n.显示，表现
shredder 碎纸机
shut v.关闭
shutdown 关机
sibling 兄弟
siblings 兄弟节点
side 一边
sign 正负号
signal 信号
signature 签名
signed 带正负号
significance 有效
significand 有效位数
significant a.有效的，有意义的
significantly 显著地
similar a.相似的
simple 简单的
simplex 单工的
simply ad.简单地，单纯地
simulate 模拟
simulation 模拟
simulator 模拟器
simultaneous 同时的
since prep.自从...以来
sine 正弦
single 单个
sit v.位于，安装
site 位置
situation n.情况，状况，势态
six n.六(个)(的)
size 大小
skeleton 骨架
skew 偏斜
skewness 偏斜度
skill n.技巧
skip 跳跃
skulk 躲藏
slash 斜线
slave 从属
slice 片
slide 滑动导轨
slider 滑动器
slot 槽
slow a.慢速的
slowly ad.缓慢地
small 小
smooth v.平滑的
smoothing 平滑
smudge 污迹
snapshot 抽点打印
so pron.如此,这样
social a.社会的
socket 插座
soft a.软的
software 软件
solely ad.独自，单独，只
solid 固态的
solution n.解，解法，解答
solve 解决
somewhat pron.稍微，有点
sonar 声纳
sort 分类
sorter 分类程序
sound n.声音，音响
sounding a.发声的
source 源
space 空间
spare 备用
speaker 扬声器
special 特殊的
specialize v.(使)专门化
specific 特定
specifically ad.特别地，逐一地
specification 规范
specifiers 说明符
specify 指定
speech n.说话，言语，语音
speed 速度
spell v.拼写
spelling 拼写
spill v.漏出，溢出，漏失
spindle 轴
split 分割
splitting n.分区[裂]
spontaneous 自发的
spool 假脱机
spooler 假脱机程序
spooling 假脱机
spread v.展开，传播
spring 弹簧
sprite 子画面
SQL 结构化查询语言
square n.方形的
squeeze v.挤压
stability 稳定性
stabilizer 稳定器
stable 稳定的
stack 堆栈
stacker 接卡箱
stage 阶段
staging 登台
stamp n.图章
stand v.处于(状态)，保持
standard 标准
standardize 标准化
standby 待用
stanza 节
star n.星形，星号
start 开始
Startable 关机后再启动
starting a.起始的
startup 启动
state 状态
stated a.规定的
statement 语句
static 静态的
staticizer 静态转换器
station 站
stationary a.静止的，平稳的
statistical 统计的
statistics 统计学
status 状态
stay v.停止，停留
step 步骤
sticky 粘连的
still a.静 v.平静
stipple 点画
stockout 无存货
stockroom 库房
stop 停止
stopping n.停止，制动(状态)
storage 存储器
store 存储
storeroom 贮藏室
stream 流
streaming 流型的
stride 跨越
strike v.敲，击
string 字符串
stroke 笔划
strong a.强的
struct 结构
structural a.结构的，结构上的
structure 结构
stub 抽头
stuff n.装入
style 形式
stylus 指示笔
subaddress 子地址
subassembly 次装配
subchannel 子通道
subclass 子类
subcommand 子命令
subcomponent 子部件
subconsole 副控制台
subcontractor 分包商
subdirectory 子目录
subfield 子字段
subfile 子文件
subgroup n.分组，子群
subheading 次标题
subheap 子堆
subject n.主题，源
subloop 子回路
submenu 子菜单
submission 提交
submit 提交
submode 子方式
subnet 子网
subnetwork 子网
subobject 子目标
subordinate 附属
subpart 子部件
subpattern 子模式
subprocess 子进程
subprogram 子程序
subproject 子项目
subqueue 子队列
subroutine 子程序
subscribe 签署
subscriber 用户
subscript 下标
subsequent a.后来的，其次的
subsequently ad.其后，其次，按着
subserver 子服务
subset 子集
subshell 子外壳
substantial a.实质的，真正的
substantially ad.实质上，本质上
substitute 替代
substitution 替代
substring 子串
subsystem 子系统
subtask 子任务
subtotal 分合计
subtrahend 减数
subtree 子树
subtype 子类型
subunit 子单元
successful 成功的
succession n.逐次性，连续性
successive a.逐次的，相继的
successor 后续
such a.这样的，如此
sufficient 足够的
suffix 后缀
suggest vt.建议，提议，暗示
suggestion n.暗示，提醒
suitable a.适合的，相适宜的
sum 和数
summarize 概述
summary 摘要
sun n.太阳，日
superblock 超级块
supercalss 超类
superclass 超类
superclient 超级客户
superimpose vt.重叠，叠加
superobject 超对象
superscalar 超标量
superscript 上标
superset 超集
superuser 超级用户
supervisor 管理程序
supplier 供应商
supplies 用品
supply vt.电源，供给
support 支持
supporters 支持单元
suppose v.假定，推测
supposed a.假定的，推测的
suppress 抑制
suppressed vt.抑制，取消
suppression 抑制
sure 确认
surface 表面
surrounding a.周围的，环绕的
survey 勘测
suspend 暂停
suspension n.暂停，中止，挂起
swab 棉签
swap 交换
swapping 交换
switch 开关
switching 开关
syllable 音节
symbol 符号
symmetric 对称
symptom 症状
synchronization 同步化
synchronize v.使同步
synchronous 同步的
syndetic 连接的
synergic 协作的
synonym 同义词
syntactical 语法的
syntax 语法
system 系统
tab 跳位、标签
table 表
tablespace 表空间
tablet 图形输入板
tabulate 制表
tabulator 制表机
tachometer 转速计
tag 标记
tailgate 尾板
tailor 剪裁
take v.取，拿
talent n.才能，技能，人才
talk v.通话，谈话
tape 磁带
target 目标
tariff 定价表
task 任务
tasking 任务
teach v.教，讲授
team n.队，小组
technical a.技术的，专业的
technology n.工艺，技术，制造学
telecommunication 远程通信
telegraph 电报
telemeter 遥测计
telephone 电话
teleprinter 电传打印机
teleprocessing 远程处理
teletype 电传打字机
teletypewriter 电传打字机
Telex 用户电报
tell n.讲，说，教，计算
template 模板
temporarily ad.暂时
temporary 临时
tension n.张力
term 项
terminal 终端
terminals 终止节点
terminate 终止
terminating n.终止，终结，收信
termination 端接
terminator 端接器
terminology 术语
terms 付款条件
ternary 三进制的
test 测试
testpoint 测试点
text 文本
textport 文本口
texture 纹理
then 然后
thereafter ad.此后，据此
therefore ad.因此，所以
thesaurus 词库
thickness 厚度
think v.考虑，以为，判断
third a.第三，三分之一
this 此
though conj.虽然，尽管
thousand n.(一)千，无数的
thrashing 系统颠簸
thread 线程
three a.三(的)
threshold 阈值
through prep.通过，直通
throughout prep.贯穿，整，遍
throughput 吞吐量
throw 废弃
tick 滴答
ticket 票券
tilde 波浪字符
Tile 阶式
tilt 倾斜
time 时间
timeout 超时
timer 计时器
times n.次数
timeslicing 时间片
timing 定时
tiny a.微小的，微量的
tip 倾斜
title 标题
today n.今天
together ad.一同，共同，相互
toggle 双向开关
token 令牌
tolerance 容错
tone n.音调，音色，色调
toner 增色剂
tool 工具
Toolkit 工具箱
top 顶部
topic 题目
topology 拓扑学
tornado n.旋风，龙卷风
total 总计
touch 接触
toward prep.朝(着..方向)
tower 塔形
trace 跟踪
traceback 追溯
tracepoint 跟踪点
track 磁道
trademark 注册商标
traditional a.传统的，惯例的
traffic 通信量
trailer 尾部
trailing n.尾随的
train 字列
transaction 事务
transceiver 收发器
transcribe 转录
transcriber 转录器
transcript 副本
transducer 变换器
transfer 传送
transform 变换
transformation 变换
transformer 变压器
transient 瞬时
transition 转移
translate 翻译
translation 翻译
translator 转换器
transliterate 直译
transmission 传输
transmit 发送
transmitter 发送器
transparency 透明性
transparent 透明
transport 传送
transportable 可传送的
trap 自陷
traversal 遍历
traverse v.横渡，横过，横断
tray 托盘
treat v.处理，加工
treble 高音
tree 树
trend 趋势
trigger 触发器
triplet 三位字节
trouble n.故障
true a.真，实，选中
truncate 截断
trunk 总线
try 尝试
trying a.费劲的，困难的
tube 管子
tuning 调整
tuple 元组
turn v.圈，匝
turnaround 周转
turning a.转弯的，旋转的
turnkey n.总控钥匙
turnover 周转
turquoise 青绿色
tutorial 指导的
twentieth n.第二十(的)
twice n.两次，两倍于
twinaxial 双轴
twist 扭曲
two n.二，两，双
type 类型
typeface 铅字样
typefont 字体
typewriter n.打字机
typical a.典型的，标准的
UI 用户界面接口
umlaut 元音变音
unable 无法
Unassign 解除指定
unattached 不连接的
unattended 无人照管
unavailable a.不能利用的
unbind 切断
unblock 解块
unblocked 非块式
unchanged a.不变的
unclassified 非保密
unconfigure 无配置
undefine 未定义
undefined a.未定义的
under prep.在..下面(之下)
underflow 下溢
underline 下划线
underload 负荷不足
underlying a.基础的，根本的
underscore 下划线
undershipment 出货不足
understand v.懂，明白(了)，理解
understanding n.了解的，聪明的
undesirable 　a.不合乎需要的
undo 取消
undone a.未完成的
unescaped 非转义
unexport 非输出
unformat 未定格式
unformatted a.无格式的
unfortunately ad.不幸，遗憾地
union 联合
unique 唯一的
unit 单元
university n.(综合性)大学
unknown a.未知的，无名的
unlabled 无标号的
unless conj.除非
unlike a.不象的，不同的
unlink 解链
unload 卸出
unloaded 已卸载
unlock 解锁
unmark 取消标记
unmarked a.没有标记的
unmarshal 数据编出
unmarshalling 数据编出
unmirror 取消镜象
unmount 卸下
unnecessary a.不必要的，多余的
unpack 拆开
unpredictable 不可预测
unrecognized a.未被认出的
unsave v. 不储存
unshift v.未移动，不移档
unsigned a.无符号的
unsuccessful a.不成功的，失败的
until prep.到..为止，直到
unused a.不用的，空着的
unviewable 不可视
unwanted a.不需要的，多余的
up 向上
upcall 上叫
update 更新
updated a.适时的，更新的
upgrade 升级
upload 上载
upon prep.依据，遵照
upper a.上的，上部的
uppercase n.大写字母
upserver 更新服务器
upstream 上游
usage n.应用，使用，用法
use 使用
useful a.有用的
useless a.无用的
user 用户
userid 用户标识符
usertime 用户时间
usually ad.通常，平常，一般
utility 实用程序
utilization 使用率
vacuum 真空
valid 有效的
validate 验证
validation 验证
validity 有效性
valuable a.有价值的，贵重的
valuator 定值器
value 值
variable 变量
variance 方差
variant 变体
variety n.变化，种类，品种
various 各种的
vary 转换
varying a.变化的，可变的
VCR 录像机
vector 向量
vendor 供应商
verb 动词
verification 验证
verifier 校对机
verify 验证
version 版本
vertical 垂直的
vertically ad.竖直地，直立地
VGA 视频图形适配器
via prep.经过，经由
vice n.缺点，毛病，错误
video 视频
videodisc 影碟
view 显示方式
viewable 可视
viewport 观察口
violate vt.违犯，妨碍，破坏
violation 违反
virtual 虚拟的
virtually ad.实际上
visibility 可见性
visible 可见的
visitor 访问器
visual 视觉的
vital a.生动的，不可缺少的
vocabulary 词汇表
vocoder 声码器
void 空
volatile 易失的
volatility 变更率
volt 伏
voltage 电压
volume 音量
vowel n.元音，母音
wafer 圆片
wait 等待
waiting a.等待的
want v.需要，应该，缺少
ware n.仪器，商品
warehouse 仓库
warn vt.警告，警戒，预告
warning 警告
warranty n.保证(书)，授权
watch n.监视，观测
Watchpoint 检测点
watertight 不漏水的
watt 瓦
waveform 波形
way n.路线，途径，状态
weatherproof 不受气候影响的
week 周
weight 权
welcome vt.欢迎
well n.好，良好
whatever pron.无论什么
when 当
whenever ad.随时
whereas conj.面，其实，既然
whether conj.无论，不管
whichever a.无论哪个
whole 整个
wick 油心
widening 扩大
width 宽度
wildcard 通配符
will 将
window 窗口
windowing 开窗口
wire 导线
wiring 接线
withdraw 撤回
within prep.在..以内
without prep.没有，在..以外
Word n.著名文字编辑软件
WordPerfect n.一种曾经最流行的文字编辑软件
work 工作
Workarea 工作区
workday 工作日
workgroup 工作组
workshop 实习
workstation 工作站
wrap 环绕
write 写入
writemask 写屏蔽
writer 写入器
year 年
zap v.迅速离去，击溃
zero n.零，零位，零点
zeroize 填零
zip 邮递区号
zone 区
zoom v.变焦距
